,genename,Sample_46-Belz_merged,Sample_46-HIF1alpha_278_299,Sample_46-HIF2alpha_266_311,Sample_46-WT_207_370,Sample_55-Belz_242_335,Sample_55-HIF1alpha_230_347,Sample_55-HIF2alpha_218_359,Sample_55-WT_254_323,Sample_59-Belz_194_383,Sample_59-HIF1alpha_277_300,Sample_59-HIF2alpha_265_312,Sample_59-WT_206_371,Sample_60-Belz_241_336,Sample_60-HIF1alpha_229_348,Sample_60-HIF2alpha_217_360,Sample_60-WT_253_324,LRS_36_HIF1a_KO_327_250,LRS_36_HIF2a_KO_315_262,LRS_36_NC_303_274,LRS_36_NT_339_238,LRS_38_HIF1a_KO_374_203,LRS_38_NC_350_227,LRS_38_NT_291_286,LRS_42_HIF1a_KO_326_251,LRS_42_HIF2a_KO_314_263,LRS_42_NC_302_275,LRS_42_NT_338_239,LRS_43_HIF1a_KO_373_204,LRS_43_HIF2a_KO_361_216,LRS_43_NC_349_228,LRS_43_NT_290_287,LRS-38_HIF2a_KO_362_215
16225,AL353796.1,84,27,19,37,33,26,21,17,20,27,17,19,28,17,23,43,270,69,77,132,76,63,46,74,55,33,57,79,66,96,66,50
16226,AL353801.1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,1,0,1,0,0,0,1,1,1
16227,AL353801.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16228,AL353801.3,9,1,2,3,1,1,1,0,2,0,1,1,0,1,1,6,8,2,1,4,0,2,3,0,3,1,3,0,0,3,2,1
16229,AL353803.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16230,AL353803.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
16231,AL353803.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16232,AL353803.4,4,0,1,0,4,2,2,1,0,1,1,0,1,1,0,1,5,7,4,9,3,2,10,1,3,3,1,8,12,30,18,7
16233,AL353803.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16234,AL353804.1,10,1,2,3,2,3,3,0,0,4,1,1,2,1,0,3,35,11,9,30,5,6,4,2,2,2,4,4,5,6,9,10
16235,AL353804.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,1,1,0,0,0,0,1,0,0,0,0
16236,AL353807.1,2,1,0,2,0,0,0,0,0,1,0,1,1,2,0,1,2,3,0,1,3,0,0,3,1,0,5,0,1,3,1,2
16237,AL353807.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16238,AL353807.3,20.5,2.06,3.8,12.79,15.02,3.98,1.82,5.41,15.3,5.58,7.64,12.12,7.49,7.48,3.41,19.47,135.31,30.96,32.12,71.05,19.14,26.15,8.2,35.17,19.3,33.28,27.93,25.37,29.53,17.89,29.34,17.95
16239,AL353807.4,4,2,2,3,3,1,0,3,1,1,4,2,1,2,0,0,10,0,6,4,1,1,0,2,6,2,2,4,1,5,3,3
16240,AL353811.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16241,AL353813.1,4.61,0.99,10.12,4.49,5.49,1.66,0,0,5.16,1.72,3.67,0.78,1.86,0,2.99,1.68,60.97,22.02,20.33,37.33,16.33,4.07,11.29,7.51,15.89,14.24,3.25,9,16.2,10.44,13.65,13.62
16242,AL353898.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
16243,AL353898.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16244,AL353898.3,18,8,5,12,10,1,2,9,11,1,5,10,5,7,3,6,76,9,11,41,17,18,14,8,10,15,15,13,24,25,21,13
16245,AL353996.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
