,genename,Sample_46-Belz_merged,Sample_46-HIF1alpha_278_299,Sample_46-HIF2alpha_266_311,Sample_46-WT_207_370,Sample_55-Belz_242_335,Sample_55-HIF1alpha_230_347,Sample_55-HIF2alpha_218_359,Sample_55-WT_254_323,Sample_59-Belz_194_383,Sample_59-HIF1alpha_277_300,Sample_59-HIF2alpha_265_312,Sample_59-WT_206_371,Sample_60-Belz_241_336,Sample_60-HIF1alpha_229_348,Sample_60-HIF2alpha_217_360,Sample_60-WT_253_324,LRS_36_HIF1a_KO_327_250,LRS_36_HIF2a_KO_315_262,LRS_36_NC_303_274,LRS_36_NT_339_238,LRS_38_HIF1a_KO_374_203,LRS_38_NC_350_227,LRS_38_NT_291_286,LRS_42_HIF1a_KO_326_251,LRS_42_HIF2a_KO_314_263,LRS_42_NC_302_275,LRS_42_NT_338_239,LRS_43_HIF1a_KO_373_204,LRS_43_HIF2a_KO_361_216,LRS_43_NC_349_228,LRS_43_NT_290_287,LRS-38_HIF2a_KO_362_215
28413,GLP1R,0,1,0,0,0,0,2,0,0,0,3,0,0,1,0,1,11,3,1,11,2,4,1,0,3,0,0,7,4,10,7,4
28414,GLP2R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28415,GLRA1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4,0,0,1,0,3,0,3,1,1
28416,GLRA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
28417,GLRA3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,2,5,3,7,0,0,0,0,3,0,0,0,2,0
28418,GLRA4,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0
28419,GLRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28420,GLRX,1148,550,405,458,594,559,428,469,477,513,437,367,514,447,400,638,10920,4111,2589,8171,3137,2644,3100,2292,2496,2373,2530,3398,2607,3839,3676,3216
28421,GLRX2,315,195,109,137,183,272,151,138,126,234,146,113,151,133,108,208,1355,344,239,801,359,302,251,299,305,369,274,423,251,302,358,268
28422,GLRX3,2123,985,706,809,1110,1129,842,798,999,1299,970,643,1063,950,768,1281,12354,4015,2909,8038,3844,3087,2987,3078,2710,3004,2972,3209,2229,3105,3187,3202
28423,GLRX3P2,1,0,0,2,0,1,1,0,1,0,0,0,1,0,0,0,5,5,0,5,0,2,0,1,0,1,2,3,1,3,3,1
28424,GLRX5,1012.47,568.35,415,400,592,698.37,541.59,388.81,421.19,641.52,438.14,270,511.02,412.76,363,529.39,8063.12,2386.67,1680.69,5443.47,1675,1828.87,1669.71,1475.84,1664.67,2098.61,1738.65,1765.99,1139.15,1698.93,1906.67,1697.88
28425,GLRXP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28426,GLRXP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28427,GLRXP3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
28428,GLS,7406.16,3447.32,2586.5,3058.34,3505.16,3058.26,2945.8,2858.3,3582.95,4037.26,3217.4,3000.28,3320.18,3664.39,2839.94,4337.64,31819.58,12745.54,12383.22,30914.75,12923.43,11616.5,9028.36,11355.75,9617.82,9825.57,10730.05,17308.07,9983.75,14846,13588.9,10752.89
28429,GLS2,28.18,21.63,21.61,17.88,19.03,16.47,15.12,8.01,10.93,15.44,25.6,7.8,6.82,17.8,11.06,22.18,225.11,83.43,94.36,231.9,34.44,46.46,36.88,18.72,39.28,54.75,55.31,73.31,24.92,59.26,73.7,54.99
28430,GLT1D1,1,2,0,0,0,2,1,1,0,1,0,0,0,1,1,0,38,5,9,33,7,7,2,1,6,19,5,25,4,8,17,7
28431,GLT6D1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28432,GLT8D1,962.79,372.67,379.64,407.04,562.37,299.89,396.14,421.21,466.66,526.93,474.61,367.34,494.77,406.25,366.18,561.58,6374.46,2525.67,1977.5,5266.03,1668.86,1559.17,1632.7,1487.2,1698.72,1818.02,1938.89,1583.7,1466.4,1784.52,1975.2,1898.66
28433,GLT8D2,5,1,2,6,5,2,4,1,4,3,1,1,10,4,3,1,60,12,14,24,7,7,13,11,11,15,10,20,15,12,9,9
28434,GLTP,1513,625,511,648,768,620,587,569,661,733,603,485,792,538,559,972,6143,2399,1924,5078,1692,1576,1546,1593,1829,2052,1890,1610,1433,1612,1715,1647
28435,GLTPD2,10.37,2,2,1,2,2,1,5,7,3,1,2.3,4,2,6,5,16,8,13,16,7,5,3,7,10,11,5,7,10,10.59,6,12.13
28436,GLTPP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,1,0,1,1,0,0,0,2
28437,GLUD1,6515.73,3025.52,2387.93,2684.19,3828.51,3014.96,2680.65,2985.76,2949.56,3684.35,2763.63,2003.82,3268.85,2961.59,2513.11,4154.42,31832.04,12684.42,10718.7,29827.84,10037.04,8822.5,8272.47,9126.93,9806.68,10082.53,10536.69,11192.04,7509.77,9889.49,10406.6,9171.73
28438,GLUD1P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,3,0,0,1,0,0,0
28439,GLUD1P3,81,20,31,39,37,21,24,36,48,38,23,38,22,26,29,41,138,83,63,156,80,90,63,76,58,52,85,71,89,113,111,82
28440,GLUD1P4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28441,GLUD1P8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28442,GLUD1P9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28443,GLUD2,56.83,7.32,9.88,4.74,7.93,2.3,4.66,14.29,7.73,21.58,11.35,9,5.64,4.51,7.09,14.4,139.9,49.58,61.65,184.05,51.52,44.14,44.22,62.94,61.82,64.97,61.37,62.96,51.47,65.82,63.82,42.27
28444,GLUL,9016,3401,4235,3994,6947,2945,6372,5454,3574,3252,3728,2715,5845,4031,5381,7745,101303,29616,44558,111543,18518,20989,16956,17270,23296,29040,26067,47647,13368,21967,32447,17774
28445,GLULP4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0
28446,GLULP5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28447,GLULP6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28448,GLYAT,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
28449,GLYATL1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28450,GLYATL1P1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
28451,GLYATL1P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28452,GLYATL1P3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0
28453,GLYATL1P4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28454,GLYATL2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28455,GLYATL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
28456,GLYCAM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28457,GLYCTK,489.92,219.94,174,212.9,299.89,127,154,267,266,269,229,209,208,184.93,148,287,3562,890,464,1763.89,895,676,640,926,773,746.6,765,724,536,719,783,634
28458,GLYCTK-AS1,25.08,7.06,3,12.1,10.11,10,4,16,6,7,3,5,4,8.07,2,6,25,11,9,21.11,14,13,11,15,12,17.4,15,14,8,19,15,9
28459,GLYR1,4466,2059,1748.65,1968,2303,2232,1722,1849,2151,2510,2076,1579,2232,1924,1727,2759,22156,7354,5414,15067,6371,6508,5435,5816,5777,6354,5937,6430,5045,6187,5904,6557
28460,GM2A,2017,754,663,794,958,754,723,774,862,933,874,627,1173,927,828,1430,15802,5987,5035,12982,3188,3151,3334,2805,3341,3608,3536,4007,2639,4041,4147,3791
28461,GM2AP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28462,GM2AP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28463,GMCL1,2678,1060,947,1121,1574,906,901,1137,1099,1335,1136,939,1076,1027,882,1378,9698,5043,2915,9236,4000,2986,3228,3488,3662,3152,3791,3800,3413,4678,4164,3972
28464,GMCL1P1,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,2,0,1,4,1,0,2,2,0,2,1
28465,GMCL1P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28466,GMDS,792,373,308,317,465,341,320,315,400,433,413,275,425,371,268,459,6968,1854,1411,3857,2005,1681,1573,1500,1459,1306,1553,1459,1251,1459,1501,1646
28467,GMDS-AS1,163,43,50,58,102,18,49,56,77,51,66,69,56,50,50,104,752,405,259,643,243,248,284,184,256,217,274,162,215,263,296,336
28468,GMEB1,1432,718,542,613,708,717,578,542,633,915,754,479,690,596,538,855,5377,2054,1761,4521,1595,1806,1462,1648,1796,2234,1895,2182,1233,1901,1842,1552
28469,GMEB2,1719,794,681,700,920,694,631,799,863,910,875,562,858,796,747,1157,7437,2944,1834,5346,2380,2070,2145,2160,2308,2133,2309,2068,2095,2577,2393,2572
28470,GMFB,2340.62,932,797,1049,1280.09,888,895.21,1024,1146,1110,910,845,1168,792,905,1403,8218,3709,3021,8451,3138,3225,2874,3034,3030,3334,3349,3065,2322,2986,2959,3340
28471,GMFBP1,4.38,3,3,0,2.91,3,1.79,1,2,2,0,0,2,4,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28472,GMFG,2941,1356,1088,1042,1638,1052,1110,1104,1374,1557,1348,913,1477,1398,1091,1800,50666,13900,8720,26690,10959,8501,9428,8644,9183,8912,9353,8491,8755,10817,11604,10402
28473,GMIP,5749,2800,2364,2471,3021,2163,2190,2506,2840,3753,2798,2124,2805,3000,2288,3464,23675,8432,6158,17099,6726,6097,6388,5705,6054,5678,6474,6885,6892,8745,8477,7128
28474,GML,1,0,0,0,1,2,2,0,0,0,0,0,0,0,2,0,7,0,2,2,0,0,1,2,0,0,2,4,2,3,1,1
28475,GMNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28476,GMNN,773,525,357,329,578,805,577,413,288,660,450,222,408,332,330,477,3639,1367,1402,4196,715,1461,875,885,1224,2016,1297,1386,348,650,984,859
28477,GMPPA,551,313,200,207,302,321,193,219,251,376,246,182,314,239,240,346,7250,2084,1756,4828,1470,1507,1377,1637,1621,1870,1838,1646,979,1380,1628,1518
28478,GMPPB,1984.02,1231.23,918.84,813.98,1030.91,1267.26,912.7,814.69,809.55,1460.55,906.51,632.8,919.14,893.17,723.14,1229.81,6391.85,1761.84,1402.37,3946.39,1634.25,1661.95,1215.11,1891.56,1583.99,2152.71,1721.63,1993.51,976.37,1340.14,1475.9,1431.1
28479,GMPR,11,5,9,4,2,5,4,2,7,18,4,2,11,20,8,12,104,25,13,59,14,16,16,31,29,50,22,196,33,88,84,22
28480,GMPR2,1182,471,449,471,692,497,502,509,549,610,602,367,663,474,448,701,12489,5826,3878,11210,3295,3083,3824,2985,3958,3668,4160,3377,3476,4260,4788,4193
28481,GMPS,4092.42,1924.9,1671,1717,2956.76,2440,2085,2181,1891.81,2372,2213,1464.94,1878.82,1644,1658,2303,17406.53,8662.95,6523.95,18324.36,5373.96,5833.85,5448.84,5034.8,6439.74,6998,6925.83,5908.93,4655,6240.91,7146.87,6295.76
28482,GMPSP1,4.58,1.1,0,0,3.24,0,0,0,2.19,0,0,1.06,1.18,0,0,0,7.47,1.05,1.05,11.64,1.04,3.15,3.16,4.2,4.26,0,4.17,1.07,0,2.09,2.13,6.24
28483,GNA11,129.32,63,109,70,117,93,130,86,64,59,101.63,53,56.59,59,61,81,1308,675.64,782.61,1527.83,218.06,356.8,363.21,204.6,481.34,544,429.74,342.21,271,375.85,506.51,405.35
28484,GNA12,2423,1022,843,1009,1401,1211,1112,1128,1044,1198,1111,739,1057,841,893,1456,6714,2497,2444,6142,1799,1912,1619,1729,2045,2411,2069,2779,1486,2237,2518,1792
28485,GNA13,10782,4324,3662,4734,5987,3275,3778,4931,4937,4839,4842,3691,5046,4253,4241,6556,35166,22369,15773,42908,13777,12363,13394,13679,15762,14697,16463,15252,14100,19432,19857,15660
28486,GNA14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,3,0,2,1,3,0,0,1,0,1,2,1,0,0,0
28487,GNA14-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28488,GNA15,3160.97,734,1334.97,1425.98,2210.96,1138,2056.99,1717.98,1353.99,895.97,2018.98,1322.96,1725.96,327.98,1728.98,2216.97,6122.94,5948.93,5140.99,14650.95,1082.99,3227.98,3574,1327.96,5231.95,6601.99,4828.98,4506.99,1639.97,4676.97,6886.98,3914.99
28489,GNAI1,103,7,41,39,92,7,44,56,21,11,39,20,19,4,23,23,186,189,145,445,40,57,101,59,155,129,184,91,58,91,186,83
28490,GNAI2,25858,12577,10193,11330,15455,11698,11025,12074,11486,15197,12578,8873,13055,9580,9699,16896,98313,37790,28886,86614,28852,31672,28664,27952,33610,38271,33377,30117,17600,25968,30064,31192
28491,GNAI2P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28492,GNAI2P2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28493,GNAI3,6475,2906,2096,2680,3367,2920,2591.98,2715,2829,3256,2547,2011,3015,2099,2341,3786.93,19176.86,8627,7085,19668.99,6339,7179.96,6251,6076,6884,7865,7387,6357.99,4567,6051,6266,7169
28494,GNAL,246.44,131.09,100.36,99.94,132.16,83.01,89.68,112.24,84.07,98.9,89.39,95.26,82.68,91.25,83.24,112.49,619.98,137.51,178.63,365.97,217.56,225.32,162.46,194.59,201.54,171.29,238.84,238.57,153.66,193.01,190.58,209.07
28495,GNAO1,155,44,74,77,161,56,67,131,91,74,119,79,80,94,86,128,707,248,265,551,146,92,104,105,94,73,70,247,350,477,438,113
28496,GNAQ,2219,794,893,1015,1208,672,859,895,1135.99,893,1033,894,969,885,786,1267,7639,4572,3217,8355.99,3226,3122,2776,2613,3001.97,2379.96,3270,2650,3182,4100,3827,3584
28497,GNAQP1,0,1,2,0,0,0,3,0,1.01,0,0,0,1,0,1,0,4,0,0,4.01,0,1,1,0,6.03,6.04,1,0,3,2,7,0
28498,GNAS,31220,10231,12446,13962,19941,8177,11391,15384,13850,11568,15442,10922,13169,9759,11430,18140,135848,73072,49220,143560.57,43756,44977,48536,35962,53109,50277,53055,44528,41550,57492,61750.02,53976
28499,GNAS-AS1,1,2,4,0,5,0,3,1,4,2,2,2,4,0,2,1,11,8,7,19.43,7,8,5,2,8,8,8,9,3,3,9.98,7
28500,GNAS-AS1_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28501,GNAS-AS1_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28502,GNAS-AS1_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28503,GNAS-AS1_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28504,GNAT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28505,GNAT2,0,0,1,0,0,6,3.02,0,0,0,0,1,0,0,1,0,4,0,1,4.01,1,2,0,3,0,5,0,1.01,0,0,0,0
28506,GNAT3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28507,GNAZ,21,16,11,7,15,13,11,8,2,18,7,2,14,3,4,10,81,14,31,65.62,11,23.98,9,11.27,41,26,19,43.86,2,13,10.32,30.27
28508,GNB1,14882,7536,5952,6364,8954,8008,6908,6766,7046,9415,7709,5246,7855,6282,6035,9483,70212,29592,22646,63918,22508,22104,21706,19550,22776,23756,23525,23019,16516,23239,23923,24345
28509,GNB1L,267.73,165.72,138.34,115.32,191.88,202.87,172.67,156.15,170.01,221.09,148.3,110.29,181.27,186.25,153.59,226.16,2353.14,719.05,513.39,1395.01,617.57,568.06,632.56,424.59,540.66,483.26,598.46,578.57,530.83,707.29,669.53,703.69
28510,GNB2,7989,4070,3273,3298,4640,4190,3535,3989,3513,4841,3811,2824,4323,3363,3380,5638,45231,14029,10488,29038,9919,9095,9235,8827,10138,10254,9819,10097,7755,10200,10816,10399
28511,GNB3,96.56,62.3,45.02,52.02,61.89,33.44,49.56,25.27,28.14,34.26,42.01,48.32,31.62,27.4,37.6,53.65,187.83,88.21,117.61,301.7,74.73,95.05,85.32,95.81,120.87,145.54,132.31,108.3,30.83,117.04,165.5,50.82
28512,GNB4,425.12,145,174,183,341,158,234,221.39,307,317,329,211.75,251,129.19,171.59,325,605.27,399.26,393.39,1292.85,265.94,606.63,366.16,307.43,562.01,801.01,590.62,569.54,137.95,250.51,476.4,415.43
28513,GNB5,1443.5,623.97,582.48,613.5,899.03,455.44,477.36,672.92,626.94,665.85,767.62,493.32,729.2,725.58,656.55,952.26,7877.59,3849,2426,6657.91,2567.54,2177.97,2498,2025,2516,2347.07,2557.73,2573,2688,3534.85,3533,2808
28514,GNE,2381,1033,955,1022,1354,1063,1100,1091,1010,1185,1097,785,1154,1021,940,1489,8028,3649,3325,8046,2585,2761,2327,2241,2611,2788,2670,2702,2099,3065,3124,2773
28515,GNG10,1614.78,507.24,579.25,748.79,995.14,604.79,617.45,853.68,730.15,663.97,688.06,605.35,895.13,560.49,644.18,1119.94,7838.56,2927.47,2028.65,5753.27,1951.19,1919.46,2028.47,1733.45,2080.54,1869.19,2223.59,1841.32,1600.13,2405.92,2293.34,2206.62
28516,GNG10P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28517,GNG11,0,0,0,0,0,9,1,0,0,2,0,0,0,0,0,0,16,1,3,6,3,3,6,3,3,2,3,10,2,0,2,2
28518,GNG12,1,2,0,0,2,5,0,0,0,2,1,0,0,1,0,1,18,2,6,33,3,0,0,2,0,3,4,63,2,9,16,0
28519,GNG12-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28520,GNG13,6,1,4,1,7,6,3,1,1,8,1,1,3,5,2,6,24,7,6,13,4,3,4,3,4,8,4,4,2,1,4,1
28521,GNG14,0,1.18,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.55,0,0,0,0,0,0,0,1,0,0,0,0.31,1,1
28522,GNG2,13920.05,4925.48,4362.92,5909.16,6943.34,3581.55,3899.48,5462.87,6007.07,5295.5,5284.11,4653.56,5686.79,3742.87,4393.91,7307.87,38758.84,23325.06,13980,42862.98,18182.99,17496,18058,15023.99,18263,15806,18480,13653,10915,16367,18515.16,20703
28523,GNG3,7.99,7.39,0,1.16,0,4,1.4,2.22,1.11,2.29,8.34,3.42,1,6.36,2,4.21,51.99,10.92,13,11.82,13.88,13.7,8.83,9.44,5.6,6.09,10,15.59,11.06,14,18,6
28524,GNG4,7,11,12,3,22,10,15,20,0,11,3,0,3,7,11,5,152,38,43,240,9,16,19,19,54,47,64,257,24,52,148,34
28525,GNG5,1496,697,610,606,998,816,663,739,591,811,704,476,759,520,571,866,14214.85,5187,3683,11126,3162,3092,3353,2853,3750,4046,3815,4080,2878.81,3704,4307,3651
28526,GNG5P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28527,GNG5P2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28528,GNG5P5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28529,GNG7,116,66,71,38,28,51,42,21,33,97,71,20,24,123,45,34,2711,824,994,2233,288,307,282,178,236,325,221,151,225,320,448,285
28530,GNG8,1,0,1,0,3,2,3,0,0,2,0,0,1,6,0,0,252,10,16,47,0,4,1,3,3,5,2,15,1,5,3,1
28531,GNGT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28532,GNGT2,237.53,242.55,151,107.3,182.9,183,171.61,133,98.47,303.71,155,57,132.78,154.52,100.26,157.55,1460.27,573.55,527.59,1471.92,272.94,320.45,278.56,299.19,486.08,605.58,445.41,648.05,315,412.05,522.13,316.45
28533,GNL1,2859.35,1043.73,1386,1278.97,2072.05,1037.04,1462.07,1589,1146.71,1269.11,1529.2,931.23,1191.76,1046,1221.61,1579.2,16622.46,7715.99,5392.84,15429.81,4146.72,3746.47,4599.03,3461.16,4810.29,4598.65,5229.45,4586.24,4662.3,6460.07,6761.12,5384.8
28534,GNL2,986,512,378,395,573,609,459,377,550,612,474,403,487,468,371,613,8994,2968,2856,6890,2680,3069,2241,2485,2494,2992,2752,2593,1590,2073,2340,2574
28535,GNL2P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28536,GNL3,1621,903,582,679,695,1390,867,567,740,1044,711,520,785,787,557,971,10069,2660,2852,6938,2448,2835,1809,2210,1816,2442,2058,2698,1674,2232,2170,1891
28537,GNL3L,944,588,336,361,436,602,344,329,387,629,353,336,469,499,319,538,4017,1194,1050,2480,1425,1371,1002,1305,1067,1156,1132,1283,1073,1293,1173,1306
28538,GNL3LP1,0,0,0,0,1.7,0,0,0,2.48,0,2.19,2.03,3.61,0,0,0,27.3,5.57,8,29.1,14.55,20.18,17.21,7.48,12.66,13.74,18.74,11.61,7.89,14.33,8,27
28539,GNLY,269,180,194,120,104,95,191,73,104,383,200,52,362,241,318,315,18413,2346,8641,13624,4223,13351,3990,3575,5534,12784,5631,17592,13356,10992,8727,4881
28540,GNMT,22,13,16,10,4,8,8,4,10,9,9,2,6,9,3,4,56,25,7,26,15,13,11,10,20,19,14,7,26,39,16,20
28541,GNPAT,2730,1152,1057,1142,1776,1315,1182,1271,1268,1425,1197,854,1328,996,1026,1707,13059,5419,4277,12236,3716,3555,3857,3238,3927,4048,4110,3681,2662,3557,4172,4248
28542,GNPDA1,2187,1061,733,800,927,837,728,663,973,1463,1009,698,1044,1268,746,1217,15437,4224,5070,10461,4966,3750,3403,3698,2949,2620,3012,4102,3083,4684,4696,3771
28543,GNPDA2,743,366,273,328,419,360,342,360,387,393,344,266,378,311,287,426,2649.93,1307,970.41,2718.33,1132.3,1004.42,955.58,868,879.96,901.88,932.66,939.92,846,916.96,954.07,1161.89
28544,GNPNAT1,920.86,498.3,243,344.08,448,681.05,469.09,314.53,388,650.18,328.79,264,455,361.68,261,495.63,3585.49,808.27,1027.34,2466.42,992.59,1218.58,667.01,1210.32,820.89,1261.77,926.11,935.45,404.42,479.11,577.93,644.63
28545,GNPTAB,15167,5155,4439,6307,6179,2731,3005,4782,6377,5362,5333,5081,6060,4348,4670,8025,27785,15151,11519,31652,14852,13808,13259,11428,11878,12052,13361,16493,7127,12510,14182,15215
28546,GNPTG,1330.09,455.4,488.81,611.76,715.51,340.89,434.78,513.85,623.65,517.96,498.94,503.39,669.19,543.91,522.19,858.37,7912.34,2024.1,1519.92,4268.14,2127.99,1585.59,1828.02,1650.93,1651.03,1606.1,1791.74,1758.47,2007.06,2183.65,2014.19,1971.07
28547,GNRH1,135,55,61,45,68,28,60,50,41,39,66,53,46,44,46,80,463,164,107,317,92,114,107,90,119,105,121,102,125,154,171,118
28548,GNRH2,1,0,3,2,0,2,1,1,2,3,1,2,0,0,0,2,2,2,1,1,0,5,4,4,2,4,5,3,0,6,1,1
28549,GNRHR,32,6,10,13,4,2,6,3,2,6,0,11,8,9,2,8,13,18,10,40,21,26,29,11,21,18,19,7,18,34,24,33
28550,GNRHR2,51.98,34.8,19.53,18.32,38.61,22.64,27.56,26.47,27,28.48,16.68,18.1,36.28,27.41,19.7,40.66,190.77,50.63,42.3,71.07,89.23,70.08,68.94,53.18,48.81,55.96,49.37,46.06,35.13,48.45,56.88,60.15
28551,GNRHR2P1,13.17,0,0,1.9,0,0,0,0,0,0,0,0,0,0,1.33,0,12.35,4.81,2.9,15.71,0,0,2.91,0.65,3.43,2.29,0,5.91,0,3.59,0,0
28552,GNS,5182,1583,1685,2203,3169,1474,1644,2469,2136,1831,1964,1690,2442,1651,1819,3255,16448,8527,5937,15442,6586,5039,5947,5812,6586,5800,6677,6202,5711,7269,7542,7379
28553,GOLGA1,1313,407,478,545,739,364,486,610,636,478,550,517,688,464,593,885,3342.92,2067.58,1566.35,3850.09,1309.88,1310.82,1449.35,1116,1597.53,1412.4,1688.18,1232.94,1719.01,1979.32,2026.52,1695.89
28554,GOLGA2,2478,1101,976,1144,1437,903,868,1138,1185,1298,1093,925,1197,995,1043,1640,8649,3741,3199,7565,2818,2516,2633,2386,2462,2486,2748,3253,2586,3289,3365,3102
28555,GOLGA2P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28556,GOLGA2P10,1127.92,218.43,400.29,553.12,487.61,160.65,235.48,373.34,311.83,177.59,237.72,299.97,217.97,112.35,211.76,336.2,796.15,620.3,383.13,1129.49,432.61,460.28,469.02,352.22,488.29,487.21,566.22,246.25,450.69,512.46,460.81,589.4
28557,GOLGA2P11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
